"game_id","margin","awayfavored"
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373259,-6,1
401373259,-6,1
NA,NA,NA
NA,NA,NA
401373389,-8.5,1
401373389,-8.5,1
401373628,-7.5,1
401373628,-7.5,1
401373629,-26.5,1
401373629,-26.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373871,-3.5,1
401373871,-3.5,1
401373885,-31,1
401373885,-31,1
401374302,-8.5,0
401374302,-8.5,0
401374308,-1.5,1
401374308,-1.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401365225,-9,1
401365225,-9,1
NA,NA,NA
NA,NA,NA
401365227,3.5,0
401365227,3.5,0
401365228,-5.5,1
401365228,-5.5,1
401365596,-17,1
401365596,-17,1
401365745,-4.5,1
401365745,-4.5,1
401369151,4,0
401369151,4,0
401369152,-18,1
401369152,-18,1
401369853,-21,1
401369853,-21,1
401369945,12.5,0
401369945,12.5,0
401369963,-20.5,1
401369963,-20.5,1
401369981,-7,1
401369981,-7,1
401370038,-6,1
401370038,-6,1
401370093,26.5,0
401370093,26.5,0
401370156,-8.5,1
401370156,-8.5,1
401370964,-18.5,1
401370964,-18.5,1
NA,NA,NA
NA,NA,NA
401371105,-10,1
401371105,-10,1
401371132,2,0
401371132,2,0
401371258,-4.5,1
401371258,-4.5,1
NA,NA,NA
NA,NA,NA
401371366,1.5,0
401371366,1.5,0
401371367,-33,1
401371367,-33,1
NA,NA,NA
NA,NA,NA
401371369,-8.5,1
401371369,-8.5,1
401371577,-3,1
401371577,-3,1
401371598,-20.5,1
401371598,-20.5,1
401371599,-3,1
401371599,-3,1
401371600,-24,1
401371600,-24,1
401371704,-8.5,1
401371704,-8.5,1
401371705,-9.5,1
401371705,-9.5,1
401371721,-7.5,1
401371721,-7.5,1
401371777,-10.5,1
401371777,-10.5,1
401371794,-22.5,1
401371794,-22.5,1
401371820,-20.5,1
401371820,-20.5,1
401371847,-22.5,1
401371847,-22.5,1
401371854,-26,1
401371854,-26,1
401371952,-14.5,0
401371952,-14.5,0
401371964,-3.5,1
401371964,-3.5,1
401371985,-19,1
401371985,-19,1
401371997,-13.5,1
401371997,-13.5,1
401372019,-8.5,1
401372019,-8.5,1
401372027,-29,1
401372027,-29,1
401372123,-29,1
401372123,-29,1
401372165,-16,1
401372165,-16,1
401372209,-3,1
401372209,-3,1
401372216,-4.5,1
401372216,-4.5,1
401372220,-8,1
401372220,-8,1
401372237,-5,1
401372237,-5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401372286,5.5,0
401372286,5.5,0
NA,NA,NA
NA,NA,NA
401372553,-13,1
401372553,-13,1
401372747,5.5,0
401372747,5.5,0
401372789,-11.5,1
401372789,-11.5,1
NA,NA,NA
NA,NA,NA
401373035,-7.5,1
401373035,-7.5,1
NA,NA,NA
NA,NA,NA
401373309,2,0
401373309,2,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401374416,11.5,0
401374416,11.5,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401365010,-2,1
401365010,-2,1
NA,NA,NA
NA,NA,NA
401365229,2,0
401365229,2,0
401365231,-7,1
401365231,-7,1
401365597,-17.5,1
401365597,-17.5,1
401365880,-7.5,1
401365880,-7.5,1
401365883,-2.5,1
401365883,-2.5,1
401365886,6,0
401365886,6,0
401365887,3.5,0
401365887,3.5,0
401369153,-36,1
401369153,-36,1
401369154,-15.5,1
401369154,-15.5,1
401369155,-26,1
401369155,-26,1
401369872,-16.5,1
401369872,-16.5,1
401370056,-19.5,1
401370056,-19.5,1
401370094,4.5,0
401370094,4.5,0
401370797,4.5,0
401370797,4.5,0
401370935,6.5,0
401370935,6.5,0
401370946,2.5,0
401370946,2.5,0
401370976,-13.5,1
401370976,-13.5,1
401371005,-9.5,1
401371005,-9.5,1
401371088,-9.5,1
401371088,-9.5,1
401371260,-13,1
401371260,-13,1
401371261,1.5,0
401371261,1.5,0
401371370,4.5,0
401371370,4.5,0
401371371,-2.5,1
401371371,-2.5,1
401371372,-12.5,1
401371372,-12.5,1
401371584,-7,1
401371584,-7,1
401371746,-10,1
401371746,-10,1
401371770,1,0
401371770,1,0
401371826,-12.5,1
401371826,-12.5,1
401371840,-16.5,1
401371840,-16.5,1
401371866,-16.5,1
401371866,-16.5,1
401371907,-4.5,1
401371907,-4.5,1
401371948,3,0
401371948,3,0
401372013,-4.5,1
401372013,-4.5,1
401372037,2.5,0
401372037,2.5,0
401372269,-21,1
401372269,-21,1
401372351,-13.5,1
401372351,-13.5,1
401372367,2.5,0
401372367,2.5,0
401372653,-2.5,1
401372653,-2.5,1
NA,NA,NA
NA,NA,NA
401373010,2,0
401373010,2,0
NA,NA,NA
NA,NA,NA
401373631,-3,1
401373631,-3,1
401373799,-10,1
401373799,-10,1
NA,NA,NA
NA,NA,NA
401377031,-2,1
401377031,-2,1
NA,NA,NA
NA,NA,NA
401384790,-10.5,1
401384790,-10.5,1
401365011,-8,1
401365011,-8,1
NA,NA,NA
NA,NA,NA
401365013,-15,1
401365013,-15,1
401365015,-7.5,1
401365015,-7.5,1
401365234,-15.5,1
401365234,-15.5,1
401365599,4.5,0
401365599,4.5,0
401365881,12.5,0
401365881,12.5,0
401365882,-5,1
401365882,-5,1
401365884,-14,1
401365884,-14,1
401365885,-3.5,1
401365885,-3.5,1
401369157,-1,1
401369157,-1,1
401369814,-13.5,1
401369814,-13.5,1
401369815,-10.5,1
401369815,-10.5,1
401369816,-2,1
401369816,-2,1
401369982,-6,1
401369982,-6,1
401370020,-20,1
401370020,-20,1
401370985,-25.5,1
401370985,-25.5,1
401371117,-5.5,1
401371117,-5.5,1
401371168,-6.5,1
401371168,-6.5,1
401371198,-12.5,1
401371198,-12.5,1
401371373,-11,1
401371373,-11,1
401371375,8,1
401371375,8,1
401371601,-28,1
401371601,-28,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401371757,-10.5,0
401371757,-10.5,0
401371795,-16,1
401371795,-16,1
401371885,3.5,0
401371885,3.5,0
401371921,-20,1
401371921,-20,1
401371968,3,0
401371968,3,0
401372124,-27.5,1
401372124,-27.5,1
401372154,-23.5,1
401372154,-23.5,1
401372160,-19.5,1
401372160,-19.5,1
401372178,-12,1
401372178,-12,1
401372227,-1.5,1
401372227,-1.5,1
401372264,-13.5,1
401372264,-13.5,1
401372411,1.5,0
401372411,1.5,0
401372437,19.5,0
401372437,19.5,0
401372470,-8,1
401372470,-8,1
401372487,-1,1
401372487,-1,1
401372571,3,0
401372571,3,0
401372618,-3,1
401372618,-3,1
401372651,-8,1
401372651,-8,1
401372972,-2.5,1
401372972,-2.5,1
401373001,-17.5,1
401373001,-17.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373377,3.5,0
401373377,3.5,0
401373428,-13,1
401373428,-13,1
401373759,-1.5,1
401373759,-1.5,1
NA,NA,NA
NA,NA,NA
401373800,-4,1
401373800,-4,1
401373837,-10.5,1
401373837,-10.5,1
401377036,7.5,0
401377036,7.5,0
401377038,4.5,1
401377038,4.5,1
401377039,12,0
401377039,12,0
401377047,5.5,1
401377047,5.5,1
401377051,3.5,0
401377051,3.5,0
401378592,-9.5,1
401378592,-9.5,1
NA,NA,NA
NA,NA,NA
401385592,-14.5,1
401385592,-14.5,1
401386150,10,0
401386150,10,0
401365016,-12,1
401365016,-12,1
401365017,-22.5,1
401365017,-22.5,1
401365018,-16.5,1
401365018,-16.5,1
401365232,5.5,0
401365232,5.5,0
401365233,-13,1
401365233,-13,1
401365236,8.5,1
401365236,8.5,1
401365237,1,0
401365237,1,0
401365238,-8,1
401365238,-8,1
401365239,-13,1
401365239,-13,1
401365240,-1.5,1
401365240,-1.5,1
401365598,-9,1
401365598,-9,1
401369156,-31,1
401369156,-31,1
401369158,16,0
401369158,16,0
401369159,1.5,0
401369159,1.5,0
401369160,12.5,0
401369160,12.5,0
NA,NA,NA
NA,NA,NA
401369817,-6.5,1
401369817,-6.5,1
401369818,2,0
401369818,2,0
401369819,7.5,0
401369819,7.5,0
401369854,-33,1
401369854,-33,1
401369891,3.5,0
401369891,3.5,0
401369911,7.5,0
401369911,7.5,0
401370000,-11,1
401370000,-11,1
401370039,-24.5,1
401370039,-24.5,1
401370057,-15.5,1
401370057,-15.5,1
401370125,-16.5,1
